N,seed,lpips_simple,lpips_complex,train_loss
10,42,0.391671468814214,0.5470122061669827,0.0050034637088887
40,42,0.3969898993770281,0.4897532537579536,0.0069438522377517
80,42,0.4027150794863701,0.4693032503128052,0.0082858129395637
10,7,0.3957119509577751,0.4955027401447296,0.0040433965978445
10,123,0.5110821252067884,0.4433724097907543,0.0038786627452354
40,7,0.3712376033266385,0.4963846020400524,0.0065514310629805
40,123,0.3349481920401255,0.4805822670459747,0.0062574398213997
80,7,0.3097710112730662,0.4452903345227241,0.0080445373659487
80,123,0.3696867600083351,0.4860957078635692,0.0082012144459411
