obj_id,quartile,copy_src_perc,nn_perc
24,Q1,0.10270148515701294,0.12486398220062256
24,Q1,0.10703015327453613,0.13542675971984863
24,Q1,0.11289119720458984,0.12975084781646729
24,Q1,0.10731005668640137,0.13535058498382568
15,Q4,0.45512616634368896,0.22082316875457764
15,Q4,0.5547183156013489,0.25485992431640625
15,Q4,0.5853517055511475,0.2691771984100342
15,Q4,0.431911826133728,0.20273834466934204
75,Q3,0.40612220764160156,0.43802422285079956
75,Q3,0.4283410310745239,0.36574482917785645
75,Q3,0.42257189750671387,0.38376790285110474
75,Q3,0.36470603942871094,0.44862842559814453
83,Q1,0.07838845252990723,0.4782342314720154
83,Q1,0.12410193681716919,0.4909921884536743
83,Q1,0.08663034439086914,0.5087682008743286
83,Q1,0.09163123369216919,0.5089753866195679
30,Q2,0.18832391500473022,0.5280280113220215
30,Q2,0.19098538160324097,0.3788797855377197
30,Q2,0.19680410623550415,0.49463164806365967
30,Q2,0.2096220850944519,0.38501960039138794
2,Q1,0.182766854763031,0.40194785594940186
2,Q1,0.20821446180343628,0.3628443479537964
2,Q1,0.22903186082839966,0.48351001739501953
2,Q1,0.19601857662200928,0.4932231903076172
93,Q2,0.28228092193603516,0.23419296741485596
93,Q2,0.26558250188827515,0.21683132648468018
93,Q2,0.2856333255767822,0.2177463173866272
93,Q2,0.2658887505531311,0.21387732028961182
92,Q1,0.19564759731292725,0.3372204303741455
92,Q1,0.19431227445602417,0.3088136315345764
92,Q1,0.19890379905700684,0.3493366241455078
92,Q1,0.1478613018989563,0.32054734230041504
38,Q4,0.5396503210067749,0.2685389518737793
38,Q4,0.5002853870391846,0.2244465947151184
38,Q4,0.4642716646194458,0.2887082099914551
38,Q4,0.528529167175293,0.25929582118988037
3,Q4,0.46970438957214355,0.2550114393234253
3,Q4,0.4875047206878662,0.27093505859375
3,Q4,0.5300444960594177,0.22670823335647583
3,Q4,0.564014196395874,0.2401437759399414
22,Q3,0.43591153621673584,0.4188706874847412
22,Q3,0.384426474571228,0.3353009819984436
22,Q3,0.36307793855667114,0.3473171591758728
22,Q3,0.38570064306259155,0.3853335976600647
72,Q1,0.15193462371826172,0.3883953094482422
72,Q1,0.14471256732940674,0.4743894338607788
72,Q1,0.1530476212501526,0.3966522216796875
72,Q1,0.14133411645889282,0.3886016607284546
61,Q2,0.1473902463912964,0.2936556935310364
61,Q2,0.17686223983764648,0.3683176636695862
61,Q2,0.2100750207901001,0.36221206188201904
61,Q2,0.1785103678703308,0.3291812539100647
21,Q4,0.5457732677459717,0.37473493814468384
21,Q4,0.6840246319770813,0.5953460931777954
21,Q4,0.5363212823867798,0.3414374589920044
21,Q4,0.5262572765350342,0.3130882978439331
87,Q1,0.17447638511657715,0.3863378167152405
87,Q1,0.19089680910110474,0.34622442722320557
87,Q1,0.17706835269927979,0.3917495012283325
87,Q1,0.20060968399047852,0.3295677900314331
52,Q2,0.28353631496429443,0.2680501937866211
52,Q2,0.38285475969314575,0.30074453353881836
52,Q2,0.37708181142807007,0.19178509712219238
52,Q2,0.32554662227630615,0.2747154235839844
88,Q2,0.2093724012374878,0.6591562032699585
88,Q2,0.1976630687713623,0.662035346031189
88,Q2,0.19833612442016602,0.6672711968421936
88,Q2,0.18851995468139648,0.38774651288986206
64,Q2,0.27279412746429443,0.24218451976776123
64,Q2,0.2608725428581238,0.23102116584777832
64,Q2,0.26830005645751953,0.24388033151626587
64,Q2,0.19370466470718384,0.23537009954452515
85,Q3,0.38152313232421875,0.43234169483184814
85,Q3,0.36278390884399414,0.39652562141418457
85,Q3,0.3270213007926941,0.3994436264038086
85,Q3,0.29384422302246094,0.416445791721344
53,Q1,0.17994076013565063,0.28937119245529175
53,Q1,0.18490493297576904,0.3477405309677124
53,Q1,0.23025202751159668,0.28447604179382324
53,Q1,0.20786052942276,0.2903597354888916
