quartile,n_objects,complexity_mean,complexity_std,copy_src_perc_mean,copy_src_perc_std,nn_perc_mean
Q1,25,0.11320665839645595,0.056828851458218185,0.15707184374332428,0.03578674692395299,0.35298826013292584
Q2,25,0.2776883073978954,0.06107681561659767,0.24210440491636595,0.06565661389566553,0.3494389280676842
Q3,25,0.42577355901400255,0.03413353590265565,0.38122528543074924,0.04241245682546246,0.3973120450973511
Q4,25,0.5353354456358486,0.047422027049798816,0.5201961845159531,0.09271099549116091,0.28787459433078766
