step,train_loss,lpips_q1,lpips_q2,lpips_q3,lpips_q4
1000,0.07624076215736568,0.5388032301612522,0.564149840010537,0.5467816170524148,0.5590407225218686
2000,0.021009067577309908,0.47307696549788764,0.47901302244928146,0.484806288691128,0.5090996081178839
3000,0.015260422897059471,0.4324755228084067,0.4789144727918837,0.5111703136387993,0.49620476365089417
4000,0.01274131092755124,0.4685343218886334,0.4714391397105323,0.503064355429481,0.5347819301215085
5000,0.0111089613516815,0.38172497956649115,0.41557274924384224,0.4487229340216693,0.5076552033424377
6000,0.010003150505945087,0.40941118934880133,0.4461061822043525,0.4775184918852413,0.48060316931117664
7000,0.00921840781182982,0.3933188733847245,0.439598368273841,0.46856629848480225,0.5120173638517206
8000,0.008524367770878599,0.4245669608530791,0.45268136262893677,0.48428050560109753,0.5107999254356731
9000,0.00809929522825405,0.4330751921819604,0.480859637260437,0.4531683010213515,0.511730898510326
10000,0.007711794476490468,0.4417134834372479,0.43021221293343437,0.4425775023067699,0.4785802201791243
11000,0.00750921920593828,0.4111084134682365,0.48253148794174194,0.43774570787654205,0.49584151668982074
12000,0.007158221848541871,0.4470567936482637,0.48811135689417523,0.5052804456037634,0.5192096558484164
13000,0.006898948890855536,0.39561574873716937,0.45681067638927036,0.44694341280881095,0.4700138541785153
14000,0.006590997155057266,0.359992574090543,0.40308636758062577,0.4324164530810188,0.5147840489040721
15000,0.006549513794714585,0.4166482972062152,0.4615816573301951,0.4424515401615816,0.5254214053804224
16000,0.0064916227026842535,0.40252889498420386,0.4459207355976105,0.4742681384086609,0.4820772788741372
17000,0.006090369206038304,0.3778011747028517,0.4147356516785092,0.4610108452684739,0.48477434570139105
18000,0.006008551800157875,0.3565420871195586,0.42028260893291897,0.4569462572827059,0.46718530492349103
19000,0.005928926973720081,0.442548666311347,0.458577745490604,0.46804670025320616,0.4939419545910575
20000,0.0057179456816520546,0.3538243252298106,0.43063616421487594,0.4237678892472211,0.43482607874003326
21000,0.0055417441336903725,0.35466666325278906,0.38382426897684735,0.44542861335417805,0.4918869706717404
22000,0.005513363224104978,0.36862781514292176,0.4110239115026262,0.4223669101210201,0.45965464277700946
23000,0.0052127586374990644,0.3326252932133882,0.38669902086257935,0.4225037799162023,0.46146624196659436
24000,0.005237281291629188,0.29741615316142206,0.44149230586157906,0.44070185633266673,0.4561575949192047
25000,0.0050513014036696405,0.3633896190187205,0.419195380475786,0.42621155346141143,0.47596616365692834
26000,0.005034224057686515,0.3518946559532829,0.4006748166349199,0.41818026935353,0.437996506690979
27000,0.005015485148178413,0.35750898589258606,0.3896708521578047,0.4167801632600672,0.44162065332586115
28000,0.004954416460124776,0.40199018302171124,0.4425363043944041,0.4023972644525416,0.4598012891682712
29000,0.00496649828075897,0.3378580031187638,0.3640218873818715,0.4310618042945862,0.43050760301676666
30000,0.004902475294657051,0.35921927897826483,0.415480547481113,0.4331439137458801,0.43371839956803754
